DateTime,SpConductivity,Q,NO3_corrected,TempC,FDOMRFU,Date,diff
2013-03-28 15:47:40,119.51,31.69461,0.40151,1.64,44.297,2013-03-28 15:47:40,0
2013-03-28 16:02:16,119.51,31.42149,0.40033,1.73,44.237,2013-03-28 16:02:16,0
2013-03-28 16:17:26,119.32,31.5306,0.3968,1.65,44.287,2013-03-28 16:17:26,0
2013-03-28 16:32:36,119.3,31.85905,0.39798,1.63,44.307,2013-03-28 16:32:36,0
2013-03-28 16:46:41,119.2,33.13394,0.39563,1.59,44.187,2013-03-28 16:46:41,0
2013-03-28 17:02:16,119.2,31.58522,0.39916,1.54,44.247,2013-03-28 17:02:16,0
2013-03-28 17:17:26,119.18,31.749370000000006,0.40268,1.49,44.267,2013-03-28 17:17:26,0
2013-03-28 17:32:36,119.28,31.14957,0.40268,1.46,44.317,2013-03-28 17:32:36,0
2013-03-28 17:46:41,119.49,29.96721,0.40503,1.42,44.237,2013-03-28 17:46:41,0
2013-03-28 18:02:16,119.74,29.96721,0.40974,1.38,44.227,2013-03-28 18:02:16,0
2013-03-28 18:17:26,119.83,30.55551,0.41444,1.33,44.197,2013-03-28 18:17:26,0
2013-03-28 18:32:36,120.09,29.96721,0.4179600000000001,1.26,44.327,2013-03-28 18:32:36,0
2013-03-28 18:46:41,120.36,29.22676,0.4179600000000001,1.21,44.347,2013-03-28 18:46:41,0
2013-03-28 19:02:16,120.58,29.06931,0.42502,1.19,44.347,2013-03-28 19:02:16,0
2013-03-28 19:17:26,120.91,29.54295,0.42502,1.16,44.437,2013-03-28 19:17:26,0
2013-03-28 19:32:36,121.21,29.06931,0.42972,1.14,44.507,2013-03-28 19:32:36,0
2013-03-28 19:46:41,121.51,30.28739,0.43089,1.12,44.587,2013-03-28 19:46:41,0
2013-03-28 20:02:16,121.73,28.65151,0.43442,1.11,44.627,2013-03-28 20:02:16,0
2013-03-28 20:17:26,122.01,27.06128,0.43442,1.1,44.657,2013-03-28 20:17:26,0
2013-03-28 20:32:36,122.19,28.23676,0.43795,1.09,44.697,2013-03-28 20:32:36,0
2013-03-28 20:46:41,122.43,26.50798,0.43912,1.06,44.777,2013-03-28 20:46:41,0
2013-03-28 21:02:16,122.66,25.76274,0.44147,1.06,44.757,2013-03-28 21:02:16,0
